"Refund was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s.","Refund was refused. Automatic creation failed. Ingenico ePayments (Ogone) status: %s."
"register", "register"
"Reminder Days", "Reminder Days"
"Reminder Days","Reminder Days"
"Removed alias %s.", "Removed alias %s."
"Request Data Encoding", "Request Data Encoding"
"Resend payment information identity", "Resend payment information identity"
"Resend payment information template", "Resend payment information template"
"Resend payment information", "Resend payment information"
"revert state update to it\'s original one because of Ingenico ePayments (Ogone)\'s state restriction", "revert state update to it\'s original one because of Ingenico ePayments (Ogone)\'s state restriction"
"RNP Fee", "RNP Fee"
"Save payment information", "Save payment information"
"Scoring Category: G","Scoring Categorie: G (Green)"
"Scoring Category: O","Scoring Categorie: O (Orange)"
"Scoring Value: %s","Scoring Value: %s"
"SCORING_DESCRIPTION_AAVCHECK","Result of the automatic address verification. This verification is currently supported by American Express only.<br /><br />Possible values:<br /><br />KO: The address has been sent but the acquirer has given a negative response for the address check, i.e. the address is wrong.<br />OK: The address has been sent and the acquirer has returned a positive response for the address check, i.e. the address is correct.<br />NO: All other cases. For instance, no address transmitted."
"SCORING_DESCRIPTION_CARDNO","Card number or account number"
"SCORING_DESCRIPTION_CCCTY","Country where the card was issued"
"SCORING_DESCRIPTION_CN","Card holder name"
"SCORING_DESCRIPTION_CVCCHECK","Result of the card verification code check.<br /><br />Possible values:<br /><br />KO: The CVC has been sent but the acquirer has given a negative response to the CVC check, i.e. the CVC is wrong.<br />OK: The CVC has been sent and the acquirer has given a positive response to the CVC check, i.e. the CVC is correct.<br />NO: All other cases. For instance, no CVC transmitted."
"SCORING_DESCRIPTION_ED","Expiry date"
"SCORING_DESCRIPTION_IPCTY","Originating country of the IP address"
"SCORING_DESCRIPTION_NBREMAILUSAGE","Number of times an email address has been used over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE","Number of times an IP address has been used for successful transactions over a certain period"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX","Number of times an IP address has been used for successful and/or declined transactions over a certain period"
"SCORING_DESCRIPTION_NBRUSAGE","Number of times a credit card has been used over a certain period"
"SCORING_DESCRIPTION_VC","Virtual Card"
"See also <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments (Ogone) documentation</a>.", "See also <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments (Ogone) documentation</a>."
